"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Registro Nacional — Persona Física @smoke @signup","ui-webkit","2026-05-05","failed","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","3","Registro Nacional — Persona Moral @regression @signup","ui-firefox","2026-05-05","skipped","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","12560","Registro Nacional — Persona Moral","ui","2026-05-02","passed","2026-05-02","Registro de empresas — Necsus","ui\signup.spec.ts","",""
"","11426","Registro Nacional — Persona Moral @regression @signup","ui-chromium","2026-05-05","passed","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","3","Registro Internacional @regression @signup","ui-firefox","2026-05-05","skipped","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","11504","Registro Nacional — Persona Física @smoke @signup","ui-chromium","2026-05-06","passed","2026-05-06","Registro de empresas — Necsus @regression","","",""
"","14198","Registro Nacional — Persona Física","ui","2026-05-02","passed","2026-05-02","Registro de empresas — Necsus","ui\signup.spec.ts","",""
"","15393","Registro Nacional — Persona Física @smoke @signup","ui-firefox","2026-05-05","failed","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","12772","Registro Internacional","ui","2026-05-02","passed","2026-05-02","Registro de empresas — Necsus","ui\signup.spec.ts","",""
"","3","Registro Nacional — Persona Moral @regression @signup","ui-webkit","2026-05-05","skipped","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","3","Registro Internacional @regression @signup","ui-webkit","2026-05-05","skipped","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","14682","Registro Nacional — Persona Física @smoke @signup","ui-chromium","2026-05-05","passed","2026-05-05","Registro de empresas — Necsus @regression","","",""
"","11762","Registro Internacional @regression @signup","ui-chromium","2026-05-05","passed","2026-05-05","Registro de empresas — Necsus @regression","","",""
